,137,232,school_pri
608,61.0,8.0,2440.0
609,43.0,7.0,2236.0
610,53.0,8.0,2296.0
611,74.0,4.0,2476.0
612,89.0,4.0,2464.0
613,88.0,5.0,2614.0
614,92.0,1.0,2894.0
615,102.0,5.0,3056.0
616,104.0,3.0,2594.0
617,113.0,4.0,2638.0
618,77.0,2.0,2504.0
619,78.0,0.0,1676.0
620,40.0,0.0,950.0
621,25.0,2.0,730.0
622,19.0,2.0,542.0
623,12.0,0.0,288.0
624,14.0,0.0,182.0
625,6.0,0.0,68.0
626,2.0,0.0,44.0
627,2.0,0.0,32.0
628,4.0,0.0,70.0
629,2.0,1.0,182.0
630,10.0,1.0,752.0
631,46.0,0.0,1696.0
632,55.0,1.0,2572.0
633,48.0,7.0,2274.0
634,66.0,1.0,2304.0
635,90.0,5.0,2582.0
636,73.0,9.0,2864.0
637,73.0,7.0,2774.0
638,95.0,3.0,3244.0
639,92.0,5.0,3288.0
640,109.0,3.0,2718.0
641,87.0,5.0,2858.0
642,80.0,2.0,2754.0
643,70.0,2.0,2008.0
644,36.0,0.0,1210.0
645,35.0,1.0,988.0
646,22.0,1.0,684.0
647,15.0,0.0,352.0
648,12.0,0.0,206.0
649,8.0,0.0,102.0
650,3.0,0.0,54.0
651,3.0,0.0,42.0
652,2.0,1.0,34.0
653,3.0,0.0,246.0
654,21.0,1.0,768.0
655,50.0,3.0,1618.0
656,54.0,4.0,2658.0
657,54.0,5.0,2500.0
658,66.0,2.0,2444.0
659,89.0,9.0,2734.0
660,89.0,3.0,2804.0
661,95.0,4.0,2752.0
662,79.0,4.0,3426.0
663,105.0,3.0,3322.0
664,98.0,7.0,2968.0
665,112.0,3.0,3426.0
666,96.0,10.0,3390.0
667,94.0,5.0,2230.0
668,51.0,3.0,1554.0
669,31.0,0.0,930.0
670,28.0,0.0,712.0
671,19.0,0.0,410.0
672,10.0,0.0,194.0
673,2.0,1.0,128.0
674,5.0,0.0,66.0
675,1.0,0.0,36.0
676,1.0,0.0,50.0
677,4.0,1.0,210.0
678,19.0,0.0,798.0
679,64.0,1.0,1720.0
680,64.0,3.0,2662.0
681,69.0,3.0,2488.0
682,68.0,3.0,2592.0
683,88.0,6.0,2632.0
684,95.0,6.0,2798.0
685,91.0,6.0,2920.0
686,66.0,8.0,3128.0
687,107.0,4.0,3278.0
688,110.0,3.0,2928.0
689,108.0,2.0,3104.0
690,106.0,5.0,3010.0
691,97.0,2.0,2030.0
692,46.0,3.0,1178.0
693,24.0,5.0,892.0
694,19.0,3.0,774.0
695,27.0,1.0,496.0
696,21.0,1.0,392.0
697,9.0,0.0,194.0
698,5.0,0.0,106.0
699,2.0,0.0,72.0
700,3.0,0.0,66.0
701,3.0,1.0,112.0
702,8.0,1.0,270.0
703,24.0,0.0,626.0
704,28.0,1.0,818.0
705,29.0,2.0,1256.0
706,39.0,2.0,1634.0
707,46.0,3.0,1924.0
708,43.0,4.0,2072.0
709,38.0,2.0,2310.0
710,48.0,2.0,2494.0
711,70.0,4.0,2596.0
712,58.0,3.0,2448.0
713,41.0,8.0,2194.0
714,44.0,5.0,2004.0
715,45.0,1.0,1668.0
716,47.0,4.0,1168.0
717,19.0,3.0,872.0
718,19.0,5.0,812.0
719,34.0,1.0,590.0
720,22.0,2.0,464.0
721,8.0,1.0,272.0
722,4.0,0.0,150.0
723,6.0,0.0,60.0
724,4.0,0.0,60.0
725,0.0,0.0,98.0
726,9.0,1.0,238.0
727,22.0,0.0,414.0
728,17.0,1.0,552.0
729,22.0,1.0,1010.0
730,22.0,3.0,1288.0
731,29.0,3.0,1726.0
732,40.0,1.0,2002.0
733,35.0,5.0,2204.0
734,40.0,2.0,2304.0
735,47.0,5.0,2112.0
736,39.0,5.0,2140.0
737,42.0,3.0,1816.0
738,40.0,5.0,1490.0
739,37.0,1.0,1016.0
740,23.0,2.0,690.0
741,17.0,0.0,460.0
742,9.0,0.0,350.0
743,15.0,0.0,230.0
744,12.0,1.0,136.0
745,6.0,1.0,86.0
746,2.0,0.0,46.0
747,0.0,0.0,20.0
748,3.0,0.0,36.0
749,2.0,1.0,84.0
750,4.0,0.0,188.0
751,21.0,1.0,358.0
752,23.0,2.0,426.0
753,25.0,1.0,360.0
754,34.0,1.0,452.0
755,16.0,0.0,310.0
756,23.0,0.0,272.0
757,22.0,4.0,246.0
758,14.0,0.0,200.0
759,14.0,0.0,216.0
760,21.0,1.0,264.0
761,14.0,1.0,204.0
762,15.0,0.0,204.0
763,19.0,1.0,170.0
764,13.0,0.0,96.0
765,7.0,0.0,78.0
766,4.0,0.0,72.0
767,8.0,0.0,66.0
768,2.0,1.0,44.0
769,1.0,0.0,32.0
770,1.0,0.0,12.0
771,0.0,0.0,6.0
772,0.0,0.0,14.0
773,1.0,0.0,58.0
774,10.0,1.0,288.0
775,27.0,1.0,806.0
776,33.0,1.0,1098.0
777,30.0,3.0,1088.0
778,29.0,0.0,1108.0
779,43.0,5.0,1204.0
780,34.0,0.0,1286.0
781,46.0,3.0,1442.0
782,48.0,1.0,1574.0
783,68.0,5.0,1674.0
784,84.0,0.0,1744.0
785,81.0,4.0,2022.0
786,75.0,2.0,1878.0
787,76.0,1.0,1422.0
788,50.0,0.0,800.0
789,25.0,0.0,510.0
790,14.0,0.0,462.0
791,21.0,0.0,292.0
792,11.0,0.0,158.0
793,5.0,0.0,76.0
794,2.0,1.0,38.0
795,1.0,0.0,44.0
796,3.0,0.0,78.0
797,3.0,0.0,238.0
798,19.0,3.0,816.0
799,41.0,2.0,1638.0
800,66.0,7.0,2536.0
801,58.0,11.0,2506.0
802,58.0,1.0,2366.0
803,74.0,7.0,2466.0
804,80.0,5.0,2696.0
805,77.0,3.0,2828.0
806,78.0,3.0,3244.0
807,104.0,3.0,3604.0
808,119.0,5.0,3292.0
809,110.0,2.0,3358.0
810,90.0,7.0,3184.0
811,97.0,5.0,2304.0
812,57.0,0.0,1332.0
813,30.0,0.0,828.0
814,26.0,0.0,768.0
815,21.0,0.0,368.0
816,11.0,0.0,214.0
817,4.0,1.0,126.0
818,3.0,0.0,54.0
819,3.0,0.0,58.0
820,4.0,0.0,64.0
821,2.0,0.0,262.0
822,12.0,3.0,840.0
823,45.0,2.0,1820.0
824,50.0,5.0,2664.0
825,65.0,7.0,2574.0
826,55.0,11.0,2610.0
827,76.0,10.0,2594.0
828,75.0,5.0,2898.0
829,81.0,5.0,3064.0
830,96.0,9.0,3436.0
831,92.0,3.0,3816.0
832,83.0,3.0,3170.0
833,101.0,5.0,3350.0
834,102.0,10.0,3330.0
835,95.0,3.0,2568.0
836,61.0,3.0,1596.0
837,33.0,2.0,1034.0
838,30.0,3.0,968.0
839,22.0,0.0,398.0
840,13.0,1.0,214.0
841,8.0,0.0,142.0
842,1.0,0.0,76.0
843,3.0,0.0,56.0
844,1.0,2.0,66.0
845,1.0,0.0,226.0
846,7.0,2.0,828.0
847,57.0,2.0,1742.0
848,58.0,6.0,2722.0
849,64.0,5.0,2542.0
850,68.0,6.0,2596.0
851,86.0,4.0,2578.0
852,92.0,1.0,2818.0
853,97.0,7.0,3110.0
854,83.0,2.0,3220.0
855,95.0,5.0,3274.0
856,105.0,8.0,3044.0
857,83.0,6.0,3226.0
858,114.0,7.0,3024.0
859,112.0,3.0,2568.0
860,58.0,1.0,1526.0
861,27.0,5.0,1086.0
862,36.0,5.0,1156.0
863,22.0,1.0,706.0
864,27.0,2.0,494.0
865,13.0,0.0,242.0
866,8.0,1.0,168.0
867,5.0,1.0,110.0
868,6.0,0.0,56.0
869,1.0,1.0,124.0
870,10.0,1.0,328.0
871,25.0,0.0,566.0
872,23.0,3.0,1052.0
873,32.0,3.0,1310.0
874,36.0,5.0,1960.0
875,51.0,5.0,2238.0
876,61.0,1.0,2898.0
877,51.0,4.0,2948.0
878,65.0,4.0,3114.0
879,48.0,7.0,2900.0
880,56.0,5.0,2952.0
881,51.0,6.0,2804.0
882,63.0,5.0,2804.0
